date	time	temp_c	temp_f	humidity	pin
2021-06-13	22:18:19	28.7	83.7	32.0	4
2021-06-13	22:18:19	28.4	83.1	26.8	24
2021-06-13	22:20:19	27.8	82.0	31.4	4
2021-06-13	22:20:19	27.6	81.7	26.5	24
2021-06-13	22:22:19	27.8	82.0	31.4	4
2021-06-13	22:22:19	27.5	81.5	26.3	24
2021-06-13	22:24:46	27.8	82.0	31.4	4
2021-06-13	22:24:46	27.6	81.7	26.5	24
2021-06-13	22:25:46	27.8	82.0	31.5	4
2021-06-13	22:25:46	27.6	81.7	26.4	24
2021-06-13	22:26:46	27.8	82.0	31.5	4
2021-06-13	22:26:46	27.6	81.7	26.5	24
